2607.17803	ff-procams	gaussian-splatting	arXiv preprint (2026-07)	PREPRINT	FF-ProCams: Feed-Forward Gaussian Splatting for Project
2607.15727	event3r	reconstruction	IROS 2026	LIKELY	Event3R: Asynchronous-to-Global 3D Reconstruction from 
2607.15211	magist3r	reconstruction	arXiv preprint (2026-07)	PREPRINT	MAGiSt3R: Multi-Agent Feed-forward 3D Reconstruction fr
2607.14203	instant-nurec	gaussian-splatting	arXiv preprint (2026-07)	PREPRINT	Instant NuRec: Feed-Forward 3D Gaussian Reconstruction 
2607.10840	omnix	dynamic	ECCV 2026	LIKELY	OmniX: Any-view and Any-time 4D Reconstruction via Feed
2607.09225	glob3r	pose	arXiv preprint (2026-07)	PREPRINT	Glob3R: Global Structure-from-Motion with 3D Foundation
2607.08772	wat3r	reconstruction	ECCV 2026	LIKELY	Wat3R: Underwater 3D Geometry Learning without Annotati
2607.05243	gush3r	dynamic	arXiv preprint (2026-07)	PREPRINT	GUSH3R: Everyone Everywhere All at Once as Gaussians
2607.05347	wildsplat	gaussian-splatting	ECCV 2026	LIKELY	WildSplat: Feedforward Gaussian Splatting from Unposed 
2607.05356	recal3r	reconstruction	arXiv preprint (2026-07)	PREPRINT	ReCal3R: Reliability-Calibrated Learning Rates for Stre
2607.04256	adaptivesplat	gaussian-splatting	ECCV 2026	LIKELY	AdaptiveSplat:Texture Aware Controllable 3D Gaussian Al
2607.03789	g-2-tam	understanding	ICML 2026	LIKELY	G$^2$TAM: Geometry Grounded Track Anything Model
2607.03891	bat3r	reconstruction	ECCV 2026	LIKELY	BAT3R: Bootstrapping Articulated 3D Reconstruction from
2607.03612	saf3r	foundation	ECCV 2026	LIKELY	SAF3R: Dynamic Sparse Attention for Feed-Forward 3D Rec
2607.02301	invsplat	gaussian-splatting	arXiv preprint (2026-07)	PREPRINT	InvSplat: Inverse Feed-Forward Scene Splatting
2607.02711	raytun3r	foundation	arXiv preprint (2026-07)	PREPRINT	RayTun3R: Online Camera Adaptation in 3D Foundation Mod
2607.02707	vlrc	foundation	arXiv preprint (2026-07)	PREPRINT	VLRC: Vision-Language Reprojection Consistency as a sca
